Id,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId
341,Isar-1,48.607,12.296,Germany,DE,Shutdown,BWR,BWR-69,1972-05-01,1979-03-21,2011-08-06,870.0,2015-05-24,WNA/IAEA,89.0
342,Isar-2,48.607,12.296,Germany,DE,Operational,PWR,Konvoi,1982-09-15,1988-04-09,,1285.0,2015-05-24,WNA/IAEA,106.0
343,Jaitapur-1,16.595278,73.341111,India,IN,Planned,PWR,,,,,,,WNA/Wikipedia,
344,Jaitapur-2,16.595278,73.341111,India,IN,Planned,PWR,,,,,,,WNA/Wikipedia,
345,Java-1 (Muria),,,Indonesia,ID,Planned,,,,,,,,WNA,
346,Jose Cabrera-1 (Zorita),40.362,-2.818,Spain,ES,Shutdown,PWR,WH 1LP,1964-06-24,1969-08-13,2006-04-30,153.0,2017-02-10,WNA/IAEA,139.0
347,JPDR,36.4625,140.61,Japan,JP,Shutdown,BWR,BWR-1,1960-12-01,1965-03-15,1976-03-18,10.0,2015-05-24,IAEA,333.0
348,AVR Juelich,50.903,6.421,Germany,DE,Shutdown,HTGR,Pebble bed reactor prototype,1961-08-01,1969-05-19,1988-12-31,13.0,2021-06-07,WNA/IAEA,114.0
349,Kahl,50.059,8.987,Germany,DE,Shutdown,BWR,BWR,1958-07-01,1962-02-01,1985-11-25,15.0,2015-05-24,WNA/IAEA,82.0
350,Kaiga-1,14.865,74.438,India,IN,Operational,PHWR,Horizontal Pressure Tube type,1989-09-01,2000-11-16,,202.0,2015-05-24,WNA/IAEA,289.0
351,Kaiga-2,14.865,74.438,India,IN,Operational,PHWR,Horizontal Pressure Tube type,1989-12-01,2000-03-16,,202.0,2015-05-24,WNA/IAEA,290.0
352,Kaiga-3,14.865,74.438,India,IN,Operational,PHWR,Horizontal Pressure Tube type,2002-03-30,2007-05-06,,202.0,2015-05-24,WNA/IAEA,291.0
353,Kaiga-4,14.865,74.438,India,IN,Operational,PHWR,Horizontal Pressure Tube type,2002-05-10,2011-01-20,,202.0,2015-05-24,WNA/IAEA,292.0
354,Kaiga-5,14.868,74.4418,India,IN,Planned,PWR,,,,,,,WNA,
