osuked_id,esail_id,gppd_idnr,name,sett_bmu_id,longitude,latitude,fuel_type,capacity_mw,plant_type,4c_offshore_id,windpowernet_id,wikidata_id,wikipedia_id,power_technology_id,hub_height
10236,RRWW,GBR0002497,Robin Rigg West,T_RRWW-1,-3.716667,54.75,wind,90.0,offshore,,,,,,80.0
10237,PPGEN001,GBR0003534,Rothes (Cairn Uish) Wind Farm,2__PPGEN001,-3.063895,57.504968000000005,wind,51.0,onshore,,,,,,
10238,SANQW,,Sanquhar Community Wind Farm Generation,T_SANQW-1,-4.023363,55.322673,wind,,onshore,,,,,,
10239,SHRSW,GBR0002512,Sheringham Shoals Windfarm  1,"E_SHRSW-1, T_SHRSW-1, E_SHRSW-2, T_SHRSW-2",1.147,53.135,wind,316.0,offshore,"sheringham-shoal-united-kingdom-uk27, sheringham-shoal-extension-united-kingdom-uk4h","windfarm_en_7394_sheringham-shoal, windfarm_en_30017_sheringham-shoal-extension",Q7495028,Sheringham_Shoal_Offshore_Wind_Farm,sheringham-shoal,132.0
10240,STRNW,GBR0004625,Strathy North Wind Farm 1,T_STRNW-1,-3.89086,58.385271,wind,67.65,onshore,,,,,,
10241,THNTW,,Thanet Offshore Wind,"E_THNTW-2, E_THNTW-1",1.6331,51.4306,wind,,offshore,thanet-united-kingdom-uk29,windfarm_en_1623_thanet,Q1576615,Thanet_Wind_Farm,thanetwindfarm,151.0
10242,THNTO,GBR0002499,Thanet Offshore Windfarm,"T_THNTO-1, T_THNTO-2",1.461182,51.385495,wind,300.0,offshore,,,,,,151.0
10243,TDBNW,,Toddleburn Wind Farm,T_TDBNW-1,-2.81,55.77,wind,,onshore,,,,,,
10244,TULWW,,Tullo,"E_TULWW-1, E_TULWW-2",-2.581787,56.662265000000005,wind,,onshore,,,,,,
10245,WLNYO,,Walney Offshore Windfarm (Extension),"T_WLNYO-3, T_WLNYO-4, T_WLNYO-2",-3.603516,53.981935,wind,,offshore,"walney--phase-1-united-kingdom-uk31, walney---phase-2-united-kingdom-uk32, walney-extension-united-kingdom-uk63","windfarm_en_7395_walney, windfarm_en_22261_walney-extension",Q1330226,Walney_Wind_Farm,walneyoffshorewindfa,82.0
10246,WLNYW1,GBR0002500,Walney Offshore Windfarm  1,T_WLNYW-1,-3.522,54.044,wind,184.0,offshore,,,,,,88.0
10247,WLNYW2,GBR0002506,Walney Offshore Windfarm  2,E_WLNYW-2,-3.522,54.044,wind,184.0,offshore,,,,,,88.0
10248,WTMSO,GBR0002545,Westermost Rough Windfarm,T_WTMSO-1,0.6811520000000001,53.943155,wind,210.0,offshore,westermost-rough-united-kingdom-uk34,windfarm_en_21826_westermost-rough,Q7987427,Westermost_Rough_Wind_Farm,westermost-rough-offshore-wind-farm-yorkshire,102.0
10249,WTMSD,,Westermost Rough Windfarm Onshore Demand,T_WTMSD-1,0.149,53.805,wind,,offshore,,,,,,102.0
10250,WDNSO,GBR0002519,West of Duddon Sands,"T_WDNSO-1, T_WDNSO-2",-3.768311,53.923751,wind,389.0,offshore,west-of-duddon-sands-united-kingdom-uk33,windfarm_en_7396_west-of-duddon-sands,Q7987061,West_of_Duddon_Sands_Wind_Farm,west-of-duddon-sands-offshore-wind-farm,90.0
10251,WDNSW,,West of Duddon Sands,"T_WDNSW-1, T_WDNSW-2",-3.463,53.983,wind,,offshore,,,,,,90.0
10252,WHILW1,GBR0003489,Whitelee Wind Farm,T_WHILW-1,-4.042969,55.702355,wind,322.0,onshore,,,,,,
10253,WHILW2,GBR0003981,Whitelee Windfarm Extension,T_WHILW-2,-4.042969,55.702355,wind,217.02,onshore,,,,,,
10277,CRGTW,,Craig 2,E_CRGTW-1,-3.0676,55.1641,wind,,onshore,,,,,,
10284,STLGW,,Stronelairg Windfarm,"T_STLGW-1, T_STLGW-2, T_STLGW-3",-4.461346,57.09986899999999,wind,,onshore,,,,,,
10288,,,Achlachan,C__PSMAR001,-3.4565,58.4479,wind,,onshore,,,,,,
10289,,,Coire Na Cloiche,E_CNCLW-1,-4.3801,57.7903,wind,,onshore,,,,,,
10290,,,Kincardine,E_KINCW-1,-1.8774,56.9835,wind,,offshore,"kincardine---phase-1-united-kingdom-uk2h, kincardine---phase-2-united-kingdom-uk4n, kincardine---dolphyn---2-mw-demo-united-kingdom-uk4u",windfarm_en_17376_kincardine-offshore-windfarm,,,,102.5
10291,,,Rosehall,E_RSHLW-1,-4.5508,58.0033,wind,,onshore,,,,,,
10292,,,Tullymurdoch,E_TLYMW-1,-3.2944,56.6717,wind,,onshore,,,,,,
10293,,,Halsary,T_HALSW-1,-3.4095,58.4332,wind,,onshore,,,,,,
10294,,,Aberdeen Bay,T_ABRBO-1,-1.9728,57.2226,wind,,offshore,aberdeen-(eowdc)-united-kingdom-uk47,windfarm_en_16769_eowdc,Q17509465,European_Offshore_Wind_Deployment_Centre,european-offshore-wind-deployment-centre-aberdeen,120
10295,,,Afton,T_AFTOW-1,-4.1691,55.3128,wind,,onshore,,,,,,
10296,,,Bad a Cheo,T_BDCHW-1,-3.4209,58.4194,wind,,onshore,,,,,,
10297,,,Beatrice,"T_BEATO-1, T_BEATO-2, T_BEATO-3, T_BEATO-4",-3.07,58.1299,wind,,offshore,"united-kingdom/beatrice-demonstration-united-kingdom-uk46, united-kingdom/beatrice-united-kingdom-uk53","windfarm_en_10664_beatrice-demonstration, windfarm_en_12051_beatrice",Q4877211,Beatrice_Wind_Farm,beatrice-offshore-wind-farm,101
