account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
100257,96322,90440,71374,67746,74811,88239,74404,75906,63999,64663,61759,63280,58449,69827,66137,53120,
100258,59798,57799,61119,56250,53771,53194,58372,55679,64400,61177,54954,56947,48247,46556,44406,28578,
100259,56281,48984,59956,43265,50244,50288,56077,43561,46345,48099,31853,37037,34773,28672,40984,33494,
100260,7743,7947,5617,5723,4028,5905,3965,4521,2592,3725,3359,3381,3536,,,,
100261,43122,63217,83346,32644,51120,63755,61488,36164,39462,39587,43072,43055,64627,63992,74566,49106,
100277,1203,2676,1992,1303,6276,8862,4160,3744,462,538,1285,1357,1376,78,160,21,
100278,37,394,3237,5145,0,0,0,0,0,,,,,,,,
100279,6704,,,,Not Reported,Not Reported,,,,,,,,,,,
100280,90,312,987,253,310,887,629,2950,2931,2345,1408,1715,2021,2162,2166,1757,
100281,10,2,0,7,170,866,645,567,85,457,8,126,177,1,0,,
100282,31,5,,,Not Reported,Not Reported,,,,,,,,,,,
100283,0,0,0,0,2,5,2,1,0,0,0,,,,,,
100284,5330,3253,5308,2224,3784,1478,659,256,156,220,4,204,33,249,26,3,
100285,835,1633,1332,1022,1333,457,186,123,134,200,54,154,460,592,90,68,
100286,0,0,15,0,0,0,0,0,0,0,0,0,0,,,,
100287,847,417,371,316,283,1358,830,1226,765,490,720,2115,1108,226,910,141,
100298,769,5474,4148,3881,4783,10653,3247,5663,1014,2925,3419,2992,863,2256,2432,786,
100299,19,1049,1663,1559,2729,1503,1184,2225,1431,1558,,,,,,,
100300,687,5909,7605,4821,16649,10380,7645,14830,12936,20735,10075,7747,10012,9582,6784,2604,
100301,0,0,0,0,8,0,,,,,,,,,,,
100302,92,531,2314,700,1895,2579,1055,715,89,254,165,272,244,202,101,39,
100303,681,236,0,0,0,0,0,0,0,Not Reported,,,,,,,
100304,0,6,0,0,0,27,213,228,0,48,0,0,0,0,0,0,
100305,0,11207,24192,9903,4233,6790,6216,9205,642,0,0,0,0,Not Reported,Not Reported,,
100306,0,6272,4754,6626,4259,4348,2792,3137,1769,895,791,454,645,496,406,464,
100308,2626,11284,4254,3786,4837,3380,3968,3696,0,0,0,0,0,0,0,0,
100309,299,802,414,135,864,666,176,804,310,561,771,1292,352,349,1125,715,
100310,0,,,,Not Reported,Not Reported,,,,,,,,,,,
100312,0,0,0,0,0,0,0,0,,,,,,,,,
100313,0,238,158,75,200,780,1,0,1,0,12,3,26,86,0,1,
100314,0,0,12,0,0,8,0,0,109,0,0,192,38,0,0,19,
100315,0,166,58,10,45,65,110,99,6,9,157,11,82,20,11,0,
100316,0,0,0,0,0,0,0,0,,,,,,,,,
100317,244,651,821,447,1660,2347,875,1153,58,224,35,65,167,77,34,0,
100318,14,39,50,2,91,96,41,59,2,5,0,44,10,10,3,0,
100319,80,36288,52676,52221,36864,41475,45929,39539,32972,30754,34184,31747,33703,28691,23279,19528,
100320,8,7,64,13,6,10,0,0,0,0,1,28,0,1,9,0,
100321,29,50,82,23,11,0,29,1,0,0,2,0,0,9,20,0,
100322,152,231,106,93,12,122,24,58,18,8,5,9,3,12,53,1,
100323,0,369,184,68,99,50,156,62,83,68,89,167,224,48,117,153,
100330,783,2215,3653,1961,185,278,266,278,268,223,301,409,82,206,373,90,
100331,73,537,701,93,776,2862,1139,1187,800,Not Reported,,,,,,,
100332,2111,5892,6257,4067,3845,3320,3113,3130,2593,1349,1514,1481,1423,1584,1333,756,
100333,201,395,1194,1097,842,865,155,149,244,187,97,80,213,55,51,67,
100334,1,0,1,0,0,3,0,0,4,1,1,0,0,0,0,0,
100335,0,3,8,0,0,5,0,0,0,0,0,28,12,1,2,0,
100336,0,6,13,16,0,4,12,0,2,0,1,0,0,0,0,0,
100338,293,284,322,226,642,602,363,202,390,96,121,220,469,12,20,12,
100339,0,0,0,0,0,0,18,26,17,18,17,20,19,17,19,15,
100340,3,1,2,4,0,6,29,44,55,197,323,282,446,,,,
100341,0,89,115,325,153,131,321,341,165,189,231,115,187,80,170,210,
100342,486,703,684,515,1729,2452,1174,658,760,508,1546,1843,1877,875,516,287,
100343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100344,,13126,49121,33378,64860,72881,56521,65079,40591,44434,47610,45223,62544,73740,69051,44321,
100345,2,3,0,0,0,1,38,25,61,21,20,22,36,57,46,41,
100346,65,24,69,26,0,57,49,62,18,32,8,54,27,29,7,2,
100347,1087,267,384,517,718,298,251,92,161,4309,844,139,45,198,75,91,
100348,561,70,357,347,369,324,135,392,290,3216,488,50,8,11,4,2,
100349,32,356,276,2,1,244,304,5,14,5,2,3,35,23,353,63,
100350,0,6,15,0,1,3,12,202,103,131,9,1,8,276,79,1,
100351,0,0,4,0,1,15,84,8,5,36,1,84,14,192,41,0,
100352,21269,21493,21495,9841,9332,14226,9341,8552,6188,6147,2909,5409,5054,7770,7093,1084,
100353,,0,76,151,149,19,64,191,180,96,16,167,83,123,90,59,
100354,0,0,13,32,6,48,3,76,29,0,0,63,0,6,0,0,
100355,55,929,903,274,1046,1115,423,877,807,239,143,169,502,266,189,48,
100356,,0,0,0,0,0,56,49,52,53,51,1,54,50,53,59,
100357,,0,0,1,2,5,4,684,952,130,40,82,191,337,232,46,
100358,,0,0,0,0,7,0,0,0,0,,,,,,,
100359,,6,18,204,85,38,1,497,0,,,,,,,,
100361,,0,1704,276,149,288,145,211,324,135,276,245,205,219,215,154,
100362,,0,1,0,0,0,0,2,0,0,,,,,,,
100363,,0,71,25,8,83,10,78,88,116,206,65,59,920,146,150,
100369,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100370,,,5358,831,819,674,515,844,573,1126,786,918,478,352,386,374,
100371,,,0,100,550,1152,747,1124,819,190,94,371,309,424,333,84,
100372,,,0,0,,,,,,,,,,,,,
100373,,,0,7,0,0,0,0,0,0,0,0,0,0,1,0,
100374,,0,0,0,0,0,0,2,0,,,,,,,,
100376,,,591,1743,3914,13231,3298,7603,1546,3958,4598,3432,942,3854,2455,1813,
100377,,,308,996,1441,1870,1253,1131,101,68,186,449,782,402,483,22,
100378,,,0,148,47,106,19,6,0,0,48,247,56,13,0,0,
100379,,,76588,189978,192186,219606,165082,180315,318086,289443,247600,246815,268164,329615,317714,304344,
100380,,,0,1,0,0,0,0,0,0,5,0,0,0,0,0,
100381,,,0,17869,19943,20213,15647,16701,9460,2111,963,1123,363,1721,1821,692,
100382,,,0,3657,2617,2696,998,1659,487,7,1,51,83,30,3,80,
100383,,,0,1,324,0,22,0,0,0,,,,,,,
100384,,,6173,22817,24342,25486,22404,24544,16139,13038,14527,15502,16707,18002,16213,15953,
100385,,,0,1,0,0,2,4,0,0,0,0,129,0,0,0,
