ngc_bmu_id,year,output_MWh
FERR-5G,2016,0.0
FERR-5G,2017,0.0
FERR-5G,2018,0.0
FERR-5G,2019,0.0
FERR-5G,2020,0.0
FERR-8G,2016,0.0
FERR-8G,2017,0.0
FERR-8G,2018,0.0
FERR-8G,2019,0.0
FERR-8G,2020,0.0
FFES-1,2016,28963.61
FFES-1,2017,19595.43
FFES-1,2018,19327.44
FFES-1,2019,1888.52
FFES-1,2020,0.0
FFES-2,2016,51404.65
FFES-2,2017,51362.12
FFES-2,2018,42387.83
FFES-2,2019,4601.45
FFES-2,2020,0.0
FFES-3,2016,41315.67
FFES-3,2017,23657.77
FFES-3,2018,28273.54
FFES-3,2019,38549.66
FFES-3,2020,52053.77
FFES-4,2016,50171.57
FFES-4,2017,51371.06
FFES-4,2018,17000.81
FFES-4,2019,23465.25
FFES-4,2020,59505.249
FIDL-1,2016,362435.448
FIDL-1,2017,45221.151
FIDL-1,2018,42361.8
FIDL-1,2019,0.0
FIDL-1,2020,0.0
FIDL-2,2016,492184.419
FIDL-2,2017,798476.953
FIDL-2,2018,392849.946
FIDL-2,2019,75802.35800000001
FIDL-2,2020,157947.097
FIDL-2G,2016,32.586
FIDL-2G,2017,101.22
FIDL-2G,2018,167.073
FIDL-2G,2019,5.001
FIDL-2G,2020,28.047
FIDL-3,2016,482852.739
FIDL-3,2017,663077.848
FIDL-3,2018,398405.51900000003
FIDL-3,2019,468993.958
FIDL-3,2020,427210.471
FIDL-3G,2016,23.856
FIDL-3G,2017,63.048
FIDL-3G,2018,237.684
FIDL-3G,2019,12.938999999999998
FIDL-3G,2020,517.611
FIDL-4,2016,507410.457
FIDL-4,2017,393771.548
FIDL-4,2018,333240.774
FIDL-4,2019,609746.295
FIDL-4,2020,396788.245
FINL-1,2016,69561.08899999999
FINL-1,2017,72695.278
FINL-1,2018,72531.878
FINL-1,2019,73329.192
FINL-1,2020,90026.797
FOYE-1,2016,117047.2
FOYE-1,2017,145254.5
FOYE-1,2018,126654.35
FOYE-1,2019,122683.25
FOYE-1,2020,61029.35
FOYE-2,2016,113004.75
FOYE-2,2017,122335.15000000001
FOYE-2,2018,101084.0
FOYE-2,2019,80375.95
FOYE-2,2020,104882.2
FSDLW-1,2016,0.0
FSDLW-1,2017,0.0
FSDLW-1,2018,0.0
FSDLW-1,2019,63362.586
FSDLW-1,2020,69276.193
GAOFO-1,2016,0.0
GAOFO-1,2017,0.0
GAOFO-1,2018,0.0
GAOFO-1,2019,0.0
GAOFO-1,2020,124611.947
GAOFO-2,2016,0.0
GAOFO-2,2017,0.0
GAOFO-2,2018,0.0
GAOFO-2,2019,0.0
GAOFO-2,2020,124803.32
GAOFO-3,2016,0.0
GAOFO-3,2017,0.0
GAOFO-3,2018,0.0
GAOFO-3,2019,0.0
GAOFO-3,2020,123607.07
GAOFO-4,2016,0.0
GAOFO-4,2017,0.0
GAOFO-4,2018,0.0
GAOFO-4,2019,0.0
GAOFO-4,2020,121803.71
GDSTW-1,2016,25235.716
GDSTW-1,2017,29568.223
GDSTW-1,2018,25395.794
GDSTW-1,2019,25025.904
GDSTW-1,2020,24923.369
GFLDW-1,2016,80075.089
GFLDW-1,2017,81619.856
GFLDW-1,2018,80559.506
GFLDW-1,2019,74774.496
GFLDW-1,2020,85038.551
GLNDO-1,2016,141758.23
GLNDO-1,2017,139016.47
GLNDO-1,2018,149858.21
GLNDO-1,2019,177515.84
GLNDO-1,2020,231742.12
GLOFW-1,2016,48232.29
GLOFW-1,2017,55740.147
GLOFW-1,2018,52664.201
GLOFW-1,2019,52532.146
GLOFW-1,2020,54318.17
GLWSW-1,2016,0.0
GLWSW-1,2017,0.0
GLWSW-1,2018,0.0
GLWSW-1,2019,130241.921
GLWSW-1,2020,134977.534
GNAPW-1,2016,0.0
GNAPW-1,2017,0.0
GNAPW-1,2018,0.0
GNAPW-1,2019,16801.339
GNAPW-1,2020,51226.639
GNFSW-1,2016,96991.694
GNFSW-1,2017,324190.029
GNFSW-1,2018,316336.275
GNFSW-1,2019,314996.212
GNFSW-1,2020,366748.712
GNFSW-2,2016,63185.026
GNFSW-2,2017,202595.152
GNFSW-2,2018,205092.983
GNFSW-2,2019,200895.064
GNFSW-2,2020,230090.531
GORDW-1,2016,127417.76
GORDW-1,2017,154525.089
GORDW-1,2018,167554.917
GORDW-1,2019,179004.723
GORDW-1,2020,137147.826
GRAI-6,2016,1861352.5
GRAI-6,2017,2227078.7
GRAI-6,2018,1658217.45
GRAI-6,2019,2486031.8
GRAI-6,2020,2355828.5
GRAI-7,2016,2530987.95
GRAI-7,2017,1835166.35
GRAI-7,2018,2040196.25
GRAI-7,2019,2158208.45
GRAI-7,2020,1784480.25
GRAI-8,2016,2612216.15
GRAI-8,2017,1000015.1
GRAI-8,2018,1664214.9
GRAI-8,2019,1992926.45
GRAI-8,2020,1577418.4
GRGBW-1,2016,572836.8589999999
GRGBW-1,2017,609198.176
GRGBW-1,2018,533116.469
GRGBW-1,2019,499996.529
GRGBW-1,2020,632324.844
GRGBW-2,2016,621071.265
GRGBW-2,2017,642323.334
GRGBW-2,2018,564928.177
