account_id,year,tonnes_co2
100090,2005,1464
100090,2006,1101
100090,2007,1616
100090,2008,188
100090,2009,270
100090,2010,3971
100090,2011,2269
100090,2012,987
100090,2013,374
100090,2014,440
100090,2015,186
100090,2016,539
100090,2017,360
100090,2018,1125
100090,2019,374
100090,2020,147
100091,2005,21
100091,2006,32
100091,2007,13
100091,2009,11
100091,2010,28
100091,2011,114
100091,2012,60
100091,2013,13
100091,2014,78
100091,2015,31
100091,2016,79
100091,2017,11
100091,2018,220
100091,2019,51
100091,2020,18
100092,2006,13
100092,2007,3
100092,2011,8
100092,2017,5
100092,2018,8
100092,2020,3
100093,2005,186
100093,2006,342
100093,2007,138
100093,2008,16
100093,2009,11
100093,2010,90
100093,2011,5
100093,2012,10
100093,2014,37
100093,2015,19
100093,2016,21
100093,2017,24
100093,2018,84
100093,2019,8
100093,2020,29
100094,2005,156
100094,2006,37
100094,2007,5
100094,2008,29
100094,2009,104
100094,2010,381
100094,2011,60
100094,2012,86
100094,2013,91
100094,2014,60
100094,2015,40
100094,2016,72
100094,2017,16
100094,2018,274
100094,2019,28
100094,2020,18
100096,2005,13
100096,2006,13
100096,2007,13
100096,2012,60
100097,2005,4746603
100097,2006,4810622
100097,2007,4525798
100097,2008,4473802
100097,2009,3414113
100097,2010,4043236
100097,2011,4042595
100097,2012,3755153
100097,2013,3670006
100097,2014,3774032
100097,2015,3936555
100097,2016,4134819
100097,2017,3792053
100097,2018,4025353
100097,2019,3313833
100097,2020,3349868
100098,2005,9867
100098,2006,6877
100098,2007,7182
100098,2008,7124
100098,2009,7149
100098,2010,6680
100098,2011,6271
100098,2012,6722
100098,2013,75493
100098,2014,77073
100098,2015,81153
100098,2016,86814
100098,2017,83101
100098,2018,77102
100098,2019,70583
100098,2020,74619
100100,2005,76
100100,2006,169
100100,2007,11
100102,2005,1
100103,2006,138
100104,2007,25
100105,2005,87
100105,2006,1157
100105,2007,3288
100105,2008,1763
100105,2009,2143
100105,2010,2679
100105,2011,2480
100105,2012,3005
100105,2013,788
100105,2014,424
100105,2017,638
100105,2019,204
100105,2020,520
100106,2005,6657
100106,2006,10702
100106,2007,9236
100106,2008,5302
100106,2009,8396
100106,2010,8752
100106,2011,4687
100106,2012,5287
100106,2013,3810
100106,2014,940
100106,2015,509
100106,2016,849
100106,2017,141
100106,2018,122
100106,2020,995
100107,2005,214941
100107,2006,226453
100107,2007,209565
100107,2008,260639
100107,2009,235249
100107,2010,200431
100107,2011,165389
100107,2012,179492
100107,2013,163237
100107,2014,141437
100107,2015,105325
100107,2016,103962
100107,2017,99390
100107,2018,107827
100107,2019,113439
100107,2020,77401
100108,2006,348
100108,2007,63
100108,2010,3
100108,2011,4
100108,2012,1
100109,2005,739
100109,2006,2745
100109,2007,2137
100109,2009,11
100109,2010,99
100109,2011,189
100109,2012,132
100110,2005,249
100110,2006,516
100110,2007,484
100110,2008,265
100110,2009,222
100110,2010,120
100110,2011,57
100110,2012,124
100110,2013,7
100110,2014,3
100111,2005,7023
100111,2006,6915
100111,2007,5744
100111,2008,5764
100111,2009,4147
100111,2010,3537
100111,2011,2705
100111,2012,2052
100111,2013,1531
100111,2014,1619
100111,2015,1596
100111,2016,2764
100111,2017,3261
100111,2018,2760
100111,2019,2388
100111,2020,2577
100112,2005,17244
100112,2006,17069
100112,2007,17885
100112,2008,13822
