osuked_id,esail_id,gppd_idnr,name,sett_bmu_id,longitude,latitude,fuel_type,capacity_mw
10093,DRAXXG,GBR1000112,Drax AGT,"T_DRAXX-10G, T_DRAXX-12G, T_DRAXX-9G",-0.9990209999999999,53.737545999999995,oil,75.0
10094,FERRG,GBR0000116,Ferrybridge C AGT,"T_FERR-5G, T_FERR-8G",-1.2805799999999998,53.7174,oil,79.0
10095,FIDLG,,Fiddlers Ferry AGT,"T_FIDL-2G, T_FIDL-3G",-2.687,53.372,oil,
10096,GRAIG,GBR1000497,Grain AGT,"T_GRAI1G, T_GRAI2G, T_GRAI3G, T_GRAI4G, T_GRAI5G",0.715028,51.445181,oil,56.0
10097,INDQ,GBR1000150,Indian Queens,T_INDQ-1,-5.064697,50.373496,oil,140.0
10098,KEADGT,,Keadby GT,T_KEADGT-3,-0.494385,53.585983999999996,oil,
10099,KINOG,,Kingsnorth AGT,"T_KINO1G, T_KINO4G",0.6027020000000001,51.418946999999996,oil,
10100,LITTDG,,Littlebrook D AGT,"T_LITTD1G, T_LITTD2G, T_LITTD3G",0.24166700000000002,51.465278000000005,oil,
10101,PEHE,,Peterhead,"T_PEHE-1, T_PEHE-2",-1.867676,57.527621999999994,oil,
10102,RATSGT,,Ratcliffe on Soar AGT,"T_RATSGT-2, T_RATSGT-4",-1.219482,52.855864000000004,oil,
10103,RUGGT,,Rugeley B AGT,"T_RUGGT-6, T_RUGGT-7",-1.94458,52.729639,oil,
10104,TAYLG,GBR1000499,Taylors Lane,"E_TAYL2G, E_TAYL3G",-0.2575,51.54600000000001,oil,144.0
10105,TILBG,,Tilbury B AGT,"T_TILB0G, T_TILB7G, T_TILB8G, T_TILB9G",0.391677,51.454926,oil,
10106,WBUGT,GBR1000146,West Burton AGT,"T_WBUGT-1, T_WBUGT-4",-0.53833,53.363665000000005,oil,40.0
10107,CASBEU,,Beauly Cascade,M_CAS-BEU01,-4.552586,57.444705000000006,hydro,
10108,CLAC,GBR1000401,Clachan Power Station,E_CLAC-1,-4.918736,56.277573,hydro,40.0
10109,CASCLU,GBR1000405,Clunie Cascade,M_CAS-CLU01,-3.7783550000000004,56.716947999999995,hydro,61.2
10110,CASCON,,Conon Cascade,M_CAS-CON01,-4.830066,57.619203000000006,hydro,
10111,CWMD,,Cwm Dyli,E_CWMD-1,-4.0114730000000005,53.065902,hydro,
10112,DOLG,,Dolgarrog,E_DOLG-1,-3.8426739999999997,53.191545,hydro,
10113,DOLGH,,Dolgarrog,E_DOLG_H,-3.8426739999999997,53.191545,hydro,
10114,DOLGL,,Dolgarrog,E_DOLG_L,-3.8426739999999997,53.191545,hydro,
10115,ERRO,,Errochty G,"T_ERRO-1, T_ERRO-2, T_ERRO-3",-3.790283,56.734649,hydro,
10116,FASN,,Fasnakyle G,"T_FASN-1, E_FASN-2, T_FASN-2, E_FASN-3, T_FASN-3, E_FASN-4",-4.793703,57.325887,hydro,
10117,FINL,,Finlarig,T_FINL-1,-3.614502,56.279961,hydro,
10118,CASGAR,,Garry Cascade,M_CAS-GAR01,-5.289194,57.066143000000004,hydro,
10119,GLNDO,GBR0000388,Glendoe,T_GLNDO-1,-5.174561,57.15411999999999,hydro,100.0
