sett_bmu_id,ngc_bmu_id,bmu_root,name,primary_fuel_type,detailed_fuel_type,longitude,latitude
2__DPGEN002,MNW-PGU03,MNW-PGU03,Stoke CHP,gas,chp,-2.1903330000000003,52.990359
T__DICI002,,DICI,Weaver Power Station,gas,chp,-2.72541,53.31544
T__DICI001,,DICI,Weston Point Power Station,gas,chp,-2.72541,53.31544
E_ALDMG-1,,ALDMG,Aldershot Military Generator,fuel_oil,diesel,0.7598,51.2599
E_ABERDARE,ABERU-1,ABERDARE,Aberdare District Energy,gas,gas,-3.44926,51.711177
E_BENIG-1,,BENIG,Bentinck,gas,gas,-1.270137,53.090486
E_BRIDGWTR,BRIDU-1,BRIDGWTR,Bridgewater District Energy,gas,gas,-3.005964,51.127515
E_CAYTG-1,,CAYTG,Caythorpe,gas,gas,-0.203475,54.086555
T_FAWL2G,FAWL2G,FAWLG,Fawley GT 2,gas,gas,1.328881,50.816696
E_FDUN-1,FDUNT-1,FDUN,Fort Dunlop,gas,gas,-1.351433,50.830367
T_LBAR-1G,LBAR-1G,LBARG,Little Barford OCGT,gas,gas,-0.2689,52.2045
T_PEHE-3G,PEHE-3,PEHEG,Peterhead GT3,gas,gas,-1.788879,57.477213
T_PEHE-4G,PEHE-4,PEHEG,Peterhead GT4,gas,gas,-1.788879,57.477213
E_PYEBG-1,,PYEBG,Pye Bridge,gas,gas,-1.349033,53.07139300000001
E_REDGT-1,,REDGT,Redditch,gas,gas,-1.932818,52.300184
E_SEVINGTN,SEVIU-1,SEVINGTN,Sevington District Energy,gas,gas,0.907475,51.128007
E_SOLUTIA,SOLUU-1,SOLUTIA,Solutia District Energy,gas,gas,-2.9983234,51.5877364
T_ABTH7G,ABTH7G,ABTHG,Aberthaw B AGT,fuel_oil,gasoil,-3.404866,51.387312
T_ABTH8G,ABTH8G,ABTHG,Aberthaw B AGT,fuel_oil,gasoil,-3.404866,51.387312
T_ABTH9G,ABTH9G,ABTHG,Aberthaw B AGT,fuel_oil,gasoil,-3.404866,51.387312
E_COWE1,COWE1,COWE,Cowes,fuel_oil,gasoil,-1.2864,50.7459
E_COWE2,COWE2,COWE,Cowes,fuel_oil,gasoil,-1.2864,50.7459
T_DIDC1G,DIDC1G,DIDCG,Didcot A AGT 1,fuel_oil,gasoil,-1.26757,51.62363
T_DIDC2G,DIDC2G,DIDCG,Didcot A AGT 2,fuel_oil,gasoil,-1.26757,51.62363
T_DIDC3G,DIDC3G,DIDCG,Didcot A AGT 3,fuel_oil,gasoil,-1.26757,51.62363
T_DIDC4G,DIDC4G,DIDCG,Didcot A AGT 4,fuel_oil,gasoil,-1.26757,51.62363
