eu_planet_id,capacity,lat,long,ecd_unit_id,gcpt_id,gcpt_unit_name,platts_id,ecd_plant_id,eutl_id,eu_planet_plant_name,ecd_unit_name,ecd_fuel_type,ecd_nameplate_capacityw,entsoe_country,entsoe_unit_name,entsoe_fuel_type
63,121,43.1963539,27.6326752,BG-2-1,G102332,Deven power station,1225991,BG-2,BG 6,Deven power station,NA,NA,NA,NA,NA,NA
64,200,45.000755,25.397194,NA,G102387,Doicesti power station Unit 7,1112435,NA,NA,Doicesti power station,NA,NA,NA,NA,NA,NA
65,1290,53.205868,14.465425,NA,G102393,Dolna Odra power station Unit 3,1112464,NA,NA,Dolna Odra power station,NA,NA,NA,NA,NA,NA
66,2640,53.737196,-0.999021,NA,G102462,Drax power station Unit 1,1112751,NA,NA,Drax power station,NA,NA,NA,NA,NA,NA
67,352,48.32611,15.923333,NA,G102476,Duernrohr 1,1113055,NA,NA,Duernrohr power station,NA,NA,NA,NA,NA,NA
68,1600,53.4355019,6.879276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,618,49.153262,6.70146,NA,G102635,Emile-Huchet power station Unit 4,1113898,NA,NA,Emile-Huchet power station,NA,NA,NA,NA,NA,NA
7,807,48.717185,9.37079,DE-8-4,G100137,Altbach-1 power station Unit 5,1101684,DE-8,DE 1450,Altbach power station,Altbach/Deizisau 1,hard coal,379,DE,HKW Altbach/Deizisau Block 1,Fossil Hard coal
70,295,44.402696,8.904247,NA,G102638,Enel Genova power station Unit 3,1116505,NA,NA,Enel Genova power station,NA,NA,NA,NA,NA,NA
71,430,49.292222,6.770833,NA,G102660,Ensdorf 1,1114023,NA,NA,Ensdorf power station,NA,NA,NA,NA,NA,NA
72,407,55.454653,8.455244,DK-5-5,G102679,Esbjerg power station Unit 8,1114204,DK-5,DK 80,Esbjerg power station,Esbjerg 3,hard coal,407,DK,Esbjergvaerket 3,Fossil Hard coal
73,2000,53.372865,-2.685797,UK-16-1,G102758,Fiddler's Ferry power station Unit 1,1114946,UK-16,GB 562,Fiddler's Ferry power station,Fiddler’s Ferry 1,hard coal,532.880434782609,GB,FIDL-1,Fossil Hard coal
74,650,40.846447,8.307164,NA,G102765,Fiume Santo power station Unit 2,1201015,NA,NA,Fiume Santo power station,NA,NA,NA,NA,NA,NA
75,100,54.804965,9.432424,NA,G102769,Flensburg power station Unit 8,1115127,NA,NA,Flensburg power station,NA,NA,NA,NA,NA,NA
76,55,51.233333,6.783333,NA,G102771,Flingern 1 Rebuild,1169699,NA,NA,Flingern power station,NA,NA,NA,NA,NA,NA
77,330,40.812251,21.602701,EL-3-1,G102777,Florina power station Unit 1,1115180,EL-3,GR 19,Florina power station,Melitis (Florina) 1,lignite,330,GR,MELITI,Fossil Brown coal/Lignite
78,144,50.098779,8.655656,DE-89-2,G102785,Frankfurt Heizkraftwerk West power station Unit 2,1118045,DE-89,DE 1078,Frankfurt Heizkraftwerk West power station,NA,NA,NA,NA,NA,NA
79,49,52.31822154,14.53151664,NA,G102787,Frankfurt Oder 1,,NA,NA,Frankfurt Oder power station,NA,NA,NA,NA,NA,NA
8,263,55.686777,12.627702,NA,G100139,Amager power station Unit 1,1218784,NA,NA,Amager power station,NA,NA,NA,NA,NA,NA
80,635,51.055469,6.57635,NA,G102789,Frimmersdorf power station Unit A,1115549,NA,NA,Frimmersdorf power station,NA,NA,NA,NA,NA,NA
81,362,55.42941166,10.41021168,NA,G102873,Fyns 3,,NA,NA,Fyns power station,NA,NA,NA,NA,NA,NA
82,211,54.378201,18.641284,PL-43-2,G102966,Gdansk-2 power station Unit 2,1116365,PL-43,PL 50,Gdansk-2 power station,NA,NA,NA,NA,NA,NA
83,104,54.553355,18.480791,PL-46-1,G102970,Gdynia-3 power station Unit 1,1116373,PL-46,PL 51,Gdynia-3 power station,NA,NA,NA,NA,NA,NA
84,155,44.403889,8.903056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,300,52.420278,9.647508,DE-122-1,G103040,GKH Hannover power station Unit 1,1149986,DE-122,DE 1387,GKH Hannover power station,Hannover 1,hard coal,150,DE,Block 1,Fossil Hard coal
86,912,49.445694,8.490444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,1235,49.445694,8.490444,NA,G103043,GKM Mannheim power station Unit 3,1183849,NA,NA,GKM (Mannheim) power station,NA,NA,NA,NA,NA,NA
88,32,50.3176821,18.6265469,NA,G103057,Gliwice Works 1,1171399,NA,NA,Gliwice Works power station,NA,NA,NA,NA,NA,NA
89,62,52.7496,15.2687,NA,G103104,Gorzow 3,1117215,NA,NA,Gorzow power station,NA,NA,NA,NA,NA,NA
9,600,51.709806,4.843661,NA,G100157,Amer power station Unit 9,1101928,NA,NA,Amer power station,NA,NA,NA,NA,NA,NA
90,100,45.039047,24.287572,NA,G103108,Govora power station Unit 5,1117301,NA,NA,Govora power station,NA,NA,NA,NA,NA,NA
91,477,53.124935,8.728692,NA,G103538,Hafen power station Unit 5,1127110,NA,NA,Hafen power station,NA,NA,NA,NA,NA,NA
92,228,60.183678,24.971562,FI-5-1,G103596,Hanasaari-B power station Unit 1,1118497,FI-5,FI 65,Hanasaari power station,Hanasaari B 1,hard coal,114,FI,Hanasaari B3,Fossil Hard coal
93,130,53.059155,8.873244,DE-37-1,G103681,Hastedt power station Unit 15,1118788,DE-37,DE 1253,Hastedt power station,NA,NA,NA,NA,NA,NA
